week,price
2021-12-13,3.449
2021-12-06,3.506
2021-11-29,3.547
2021-11-22,3.589
2021-11-15,3.615
2021-11-08,3.625
2021-11-01,3.633
2021-10-25,3.64
2021-10-18,3.641
2021-10-11,3.645
2021-10-04,3.653
2021-09-27,3.657
2021-09-20,3.67
2021-09-13,3.708
2021-09-06,3.719
2021-08-30,3.729
2021-08-23,3.742
2021-08-16,3.759
2021-08-09,3.758
2021-08-02,3.648
2021-07-26,3.626
2021-07-19,3.611
2021-07-12,3.578
2021-07-05,3.567
2021-06-28,3.466
2021-06-21,3.413
2021-06-14,3.312
2021-06-07,3.269
2021-05-31,3.217
2021-05-24,3.208
2021-05-17,3.18
2021-05-10,3.119
2021-05-03,3.062
2021-04-26,3.059
2021-04-19,3.052
2021-04-12,3.018
2021-04-05,3.016
2021-03-29,3.014
2021-03-22,3.03
2021-03-15,2.932
2021-03-08,2.853
2021-03-01,2.759
2021-02-22,2.611
2021-02-15,2.574
2021-02-08,2.493
2021-02-01,2.434
2021-01-25,2.431
2021-01-18,2.421
2021-01-11,2.377
2021-01-04,2.333
2020-12-28,2.334
2020-12-21,2.317
2020-12-14,2.252
2020-12-07,2.247
2020-11-30,2.23
2020-11-23,2.211
2020-11-16,2.242
2020-11-09,2.253
2020-11-02,2.268
2020-10-26,2.3
2020-10-19,2.323
2020-10-12,2.332
2020-10-05,2.343
2020-09-28,2.378
2020-09-21,2.397
2020-09-14,2.413
2020-09-07,2.437
2020-08-31,2.471
2020-08-24,2.482
2020-08-17,2.491
2020-08-10,2.502
2020-08-03,2.524
2020-07-27,2.537
2020-07-20,2.558
2020-07-13,2.579
2020-07-06,2.574
2020-06-29,2.565
2020-06-22,2.485
2020-06-15,2.414
2020-06-08,2.325
2020-06-01,2.197
2020-05-25,2.052
2020-05-18,1.828
2020-05-11,1.772
2020-05-04,1.781
2020-04-27,1.81
2020-04-20,1.853
2020-04-13,1.916
2020-04-06,1.981
2020-03-30,2.071
2020-03-23,2.157
2020-03-16,2.267
2020-03-09,2.376
2020-03-02,2.455
2020-02-24,2.519
2020-02-17,2.555
2020-02-10,2.602
2020-02-03,2.619
2020-01-27,2.646
2020-01-20,2.692
2020-01-13,2.727
2020-01-06,2.766
2019-12-30,2.778
2019-12-23,2.808
2019-12-16,2.851
2019-12-09,2.892
2019-12-02,2.886
2019-11-25,2.879
2019-11-18,2.903
2019-11-11,2.882
2019-11-04,2.895
2019-10-28,2.847
2019-10-21,2.831
2019-10-14,2.807
2019-10-07,2.802
2019-09-30,2.802
2019-09-23,2.784
2019-09-16,2.674
2019-09-09,2.615
2019-09-02,2.586
2019-08-26,2.582
2019-08-19,2.596
2019-08-12,2.618
2019-08-05,2.634
2019-07-29,2.668
2019-07-22,2.707
2019-07-15,2.753
2019-07-08,2.758
2019-07-01,2.779
2019-06-24,2.806
2019-06-17,2.858
2019-06-10,2.899
2019-06-03,2.942
2019-05-27,2.937
2019-05-20,2.927
2019-05-13,2.924
2019-05-06,2.891
2019-04-29,2.863
2019-04-22,2.806
2019-04-15,2.74
2019-04-08,2.647
2019-04-01,2.59
2019-03-25,2.532
2019-03-18,2.436
2019-03-11,2.338
2019-03-04,2.287
2019-02-25,2.234
2019-02-18,2.143
2019-02-11,2.069
2019-02-04,2.077
2019-01-28,2.132
2019-01-21,2.157
2019-01-14,2.183
2019-01-07,2.286
2018-12-31,2.349
2018-12-24,2.393
2018-12-17,2.473
2018-12-10,2.553
2018-12-03,2.618
2018-11-26,2.725
2018-11-19,2.762
2018-11-12,2.849
2018-11-05,2.928
2018-10-29,2.964
2018-10-22,2.991
2018-10-15,3.024
2018-10-08,3.042
2018-10-01,3.012
2018-09-24,2.983
2018-09-17,2.978
2018-09-10,2.936
2018-09-03,2.929
2018-08-27,2.884
2018-08-20,2.853
2018-08-13,2.843
2018-08-06,2.843
2018-07-30,2.836
2018-07-23,2.853
2018-07-16,2.883
2018-07-09,2.895
2018-07-02,2.892
2018-06-25,2.885
2018-06-18,2.918
2018-06-11,2.949
2018-06-04,2.972
2018-05-28,2.979
2018-05-21,2.902
2018-05-14,2.827
2018-05-07,2.755
2018-04-30,2.734
2018-04-23,2.724
2018-04-16,2.717
2018-04-09,2.599
2018-04-02,2.598
2018-03-26,2.553
2018-03-19,2.495
2018-03-12,2.477
2018-03-05,2.48
2018-02-26,2.501
2018-02-19,2.538
2018-02-12,2.567
2018-02-05,2.58
2018-01-29,2.565
2018-01-22,2.52
2018-01-15,2.508
2018-01-08,2.5
2018-01-01,2.509
2017-12-25,2.516
2017-12-18,2.549
2017-12-11,2.576
2017-12-04,2.604
2017-11-27,2.627
2017-11-20,2.636
2017-11-13,2.65
2017-11-06,2.626
2017-10-30,2.557
2017-10-23,2.554
2017-10-16,2.53
2017-10-09,2.545
2017-10-02,2.569
2017-09-25,2.582
2017-09-18,2.606
2017-09-11,2.642
2017-09-04,2.664
2017-08-28,2.414
2017-08-21,2.404
2017-08-14,2.41
2017-08-07,2.413
2017-07-31,2.356
2017-07-24,2.342
2017-07-17,2.301
2017-07-10,2.306
2017-07-03,2.298
2017-06-26,2.332
2017-06-19,2.385
2017-06-12,2.418
2017-06-05,2.442
2017-05-29,2.449
2017-05-22,2.403
2017-05-15,2.402
2017-05-08,2.414
2017-05-01,2.426
2017-04-24,2.437
2017-04-17,2.426
2017-04-10,2.371
2017-04-03,2.291
2017-03-27,2.278
2017-03-20,2.263
2017-03-13,2.274
