week,price
2021-12-13,3.444
2021-12-06,3.46
2021-11-29,3.478
2021-11-22,3.481
2021-11-15,3.485
2021-11-08,3.486
2021-11-01,3.464
2021-10-25,3.438
2021-10-18,3.36
2021-10-11,3.265
2021-10-04,3.167
2021-09-27,3.164
2021-09-20,3.166
2021-09-13,3.16
2021-09-06,3.159
2021-08-30,3.121
2021-08-23,3.114
2021-08-16,3.115
2021-08-09,3.109
2021-08-02,3.1
2021-07-26,3.087
2021-07-19,3.096
2021-07-12,3.088
2021-07-05,3.08
2021-06-28,3.046
2021-06-21,3.018
2021-06-14,3.004
2021-06-07,2.995
2021-05-31,2.982
2021-05-24,2.98
2021-05-17,2.969
2021-05-10,2.919
2021-05-03,2.865
2021-04-26,2.836
2021-04-19,2.821
2021-04-12,2.806
2021-04-05,2.828
2021-03-29,2.826
2021-03-22,2.843
2021-03-15,2.822
2021-03-08,2.757
2021-03-01,2.711
2021-02-22,2.634
2021-02-15,2.545
2021-02-08,2.51
2021-02-01,2.462
2021-01-25,2.441
2021-01-18,2.418
2021-01-11,2.359
2021-01-04,2.305
2020-12-28,2.281
2020-12-21,2.263
2020-12-14,2.216
2020-12-07,2.173
2020-11-30,2.147
2020-11-23,2.136
2020-11-16,2.144
2020-11-09,2.14
2020-11-02,2.141
2020-10-26,2.151
2020-10-19,2.158
2020-10-12,2.167
2020-10-05,2.162
2020-09-28,2.175
2020-09-21,2.183
2020-09-14,2.188
2020-09-07,2.191
2020-08-31,2.22
2020-08-24,2.173
2020-08-17,2.176
2020-08-10,2.178
2020-08-03,2.18
2020-07-27,2.18
2020-07-20,2.184
2020-07-13,2.175
2020-07-06,2.174
2020-06-29,2.17
2020-06-22,2.134
2020-06-15,2.111
2020-06-08,2.099
2020-06-01,2.064
2020-05-25,2.056
2020-05-18,2.008
2020-05-11,1.983
2020-05-04,1.953
2020-04-27,1.959
2020-04-20,1.985
2020-04-13,2.025
2020-04-06,2.092
2020-03-30,2.169
2020-03-23,2.284
2020-03-16,2.407
2020-03-09,2.52
2020-03-02,2.546
2020-02-24,2.571
2020-02-17,2.563
2020-02-10,2.591
2020-02-03,2.61
2020-01-27,2.636
2020-01-20,2.649
2020-01-13,2.653
2020-01-06,2.655
2019-12-30,2.65
2019-12-23,2.618
2019-12-16,2.62
2019-12-09,2.623
2019-12-02,2.624
2019-11-25,2.625
2019-11-18,2.629
2019-11-11,2.636
2019-11-04,2.634
2019-10-28,2.635
2019-10-21,2.635
2019-10-14,2.639
2019-10-07,2.644
2019-09-30,2.662
2019-09-23,2.653
2019-09-16,2.643
2019-09-09,2.646
2019-09-02,2.702
2019-08-26,2.723
2019-08-19,2.739
2019-08-12,2.757
2019-08-05,2.765
2019-07-29,2.779
2019-07-22,2.783
2019-07-15,2.793
2019-07-08,2.773
2019-07-01,2.768
2019-06-24,2.745
2019-06-17,2.766
2019-06-10,2.8
2019-06-03,2.853
2019-05-27,2.874
2019-05-20,2.889
2019-05-13,2.901
2019-05-06,2.912
2019-04-29,2.873
2019-04-22,2.794
2019-04-15,2.705
2019-04-08,2.635
2019-04-01,2.62
2019-03-25,2.593
2019-03-18,2.53
2019-03-11,2.479
2019-03-04,2.461
2019-02-25,2.452
2019-02-18,2.41
2019-02-11,2.418
2019-02-04,2.45
2019-01-28,2.481
2019-01-21,2.491
2019-01-14,2.5
2019-01-07,2.524
2018-12-31,2.573
2018-12-24,2.618
2018-12-17,2.652
2018-12-10,2.691
2018-12-03,2.711
2018-11-26,2.749
2018-11-19,2.774
2018-11-12,2.811
2018-11-05,2.866
2018-10-29,2.887
2018-10-22,2.901
2018-10-15,2.902
2018-10-08,2.925
2018-10-01,2.918
2018-09-24,2.912
2018-09-17,2.926
2018-09-10,2.925
2018-09-03,2.927
2018-08-27,2.922
2018-08-20,2.939
2018-08-13,2.951
2018-08-06,2.95
2018-07-30,2.95
2018-07-23,2.951
2018-07-16,2.96
2018-07-09,2.95
2018-07-02,2.949
2018-06-25,2.943
2018-06-18,2.956
2018-06-11,2.982
2018-06-04,3.024
2018-05-28,3.033
2018-05-21,2.978
2018-05-14,2.907
2018-05-07,2.898
2018-04-30,2.873
2018-04-23,2.836
2018-04-16,2.771
2018-04-09,2.724
2018-04-02,2.724
2018-03-26,2.673
2018-03-19,2.661
2018-03-12,2.662
2018-03-05,2.659
2018-02-26,2.676
2018-02-19,2.701
2018-02-12,2.732
2018-02-05,2.718
2018-01-29,2.689
2018-01-22,2.663
2018-01-15,2.652
2018-01-08,2.665
2018-01-01,2.642
2017-12-25,2.623
2017-12-18,2.644
2017-12-11,2.658
2017-12-04,2.68
2017-11-27,2.696
2017-11-20,2.707
2017-11-13,2.702
2017-11-06,2.677
2017-10-30,2.68
2017-10-23,2.699
2017-10-16,2.712
2017-10-09,2.737
2017-10-02,2.78
2017-09-25,2.815
2017-09-18,2.836
2017-09-11,2.846
2017-09-04,2.834
2017-08-28,2.478
2017-08-21,2.441
2017-08-14,2.449
2017-08-07,2.448
2017-07-31,2.433
2017-07-24,2.393
2017-07-17,2.351
2017-07-10,2.369
2017-07-03,2.393
2017-06-26,2.407
2017-06-19,2.404
2017-06-12,2.425
2017-06-05,2.494
2017-05-29,2.512
2017-05-22,2.489
2017-05-15,2.455
2017-05-08,2.459
2017-05-01,2.468
2017-04-24,2.467
2017-04-17,2.441
2017-04-10,2.387
2017-04-03,2.361
2017-03-27,2.342
2017-03-20,2.341
2017-03-13,2.331
2017-03-06,2.322
2017-02-27,2.345
2017-02-20,2.355
2017-02-13,2.359
2017-02-06,2.341
2017-01-30,2.355
2017-01-23,2.379
2017-01-16,2.407
2017-01-09,2.439
2017-01-02,2.425
2016-12-26,2.362
2016-12-19,2.342
2016-12-12,2.316
2016-12-05,2.299
2016-11-28,2.262
2016-11-21,2.267
2016-11-14,2.293
2016-11-07,2.313
2016-10-31,2.314
2016-10-24,2.312
2016-10-17,2.31
2016-10-10,2.313
2016-10-03,2.294
2016-09-26,2.261
2016-09-19,2.254
2016-09-12,2.241
2016-09-05,2.267
2016-08-29,2.268
2016-08-22,2.234
2016-08-15,2.184
2016-08-08,2.204
2016-08-01,2.251
2016-07-25,2.295
2016-07-18,2.322
2016-07-11,2.353
2016-07-04,2.397
2016-06-27,2.408
2016-06-20,2.408
2016-06-13,2.425
2016-06-06,2.417
2016-05-30,2.408
2016-05-23,2.368
2016-05-16,2.326
2016-05-09,2.339
2016-05-02,2.31
2016-04-25,2.251
2016-04-18,2.207
2016-04-11,2.126
2016-04-04,2.114
2016-03-28,2.109
2016-03-21,2.006
2016-03-14,1.98
2016-03-07,1.882
2016-02-29,1.883
2016-02-22,1.89
2016-02-15,1.908
2016-02-08,1.953
2016-02-01,1.992
2016-01-25,2.017
2016-01-18,2.039
2016-01-11,2.085
2016-01-04,2.109
2015-12-28,2.134
2015-12-21,2.159
2015-12-14,2.168
2015-12-07,2.212
2015-11-30,2.221
2015-11-23,2.218
2015-11-16,2.226
2015-11-09,2.236
2015-11-02,2.221
2015-10-26,2.232
2015-10-19,2.241
2015-10-12,2.28
2015-10-05,2.296
2015-09-28,2.333
2015-09-21,2.367
2015-09-14,2.407
2015-09-07,2.444
2015-08-31,2.472
2015-08-24,2.563
2015-08-17,2.634
2015-08-10,2.679
2015-08-03,2.722
2015-07-27,2.773
2015-07-20,2.796
2015-07-13,2.823
