week,price
2021-12-13,3.121
2021-12-06,3.148
2021-11-29,3.191
2021-11-22,3.2
2021-11-15,3.201
2021-11-08,3.217
2021-11-01,3.196
2021-10-25,3.168
2021-10-18,3.127
2021-10-11,3.084
2021-10-04,3.064
2021-09-27,3.041
2021-09-20,3.031
2021-09-13,3.021
2021-09-06,3.031
2021-08-30,3.032
2021-08-23,3.047
2021-08-16,3.055
2021-08-09,3.043
2021-08-02,3.015
2021-07-26,3.009
2021-07-19,3.022
2021-07-12,3.002
2021-07-05,2.978
2021-06-28,2.942
2021-06-21,2.873
2021-06-14,2.882
2021-06-07,2.854
2021-05-31,2.855
2021-05-24,2.84
2021-05-17,2.854
2021-05-10,2.778
2021-05-03,2.749
2021-04-26,2.75
2021-04-19,2.743
2021-04-12,2.738
2021-04-05,2.758
2021-03-29,2.772
2021-03-22,2.786
2021-03-15,2.789
2021-03-08,2.734
2021-03-01,2.68
2021-02-22,2.598
2021-02-15,2.408
2021-02-08,2.326
2021-02-01,2.319
2021-01-25,2.317
2021-01-18,2.304
2021-01-11,2.227
2021-01-04,2.172
2020-12-28,2.164
2020-12-21,2.149
2020-12-14,2.041
2020-12-07,1.988
2020-11-30,1.976
2020-11-23,1.955
2020-11-16,1.99
2020-11-09,1.949
2020-11-02,1.972
2020-10-26,1.986
2020-10-19,1.996
2020-10-12,2.013
2020-10-05,2.048
2020-09-28,2.067
2020-09-21,2.088
2020-09-14,2.114
2020-09-07,2.138
2020-08-31,2.143
2020-08-24,2.077
2020-08-17,2.066
2020-08-10,2.07
2020-08-03,2.08
2020-07-27,2.082
2020-07-20,2.104
2020-07-13,2.11
2020-07-06,2.106
2020-06-29,2.129
2020-06-22,2.082
2020-06-15,2.032
2020-06-08,1.998
2020-06-01,1.92
2020-05-25,1.914
2020-05-18,1.766
2020-05-11,1.692
2020-05-04,1.553
2020-04-27,1.543
2020-04-20,1.576
2020-04-13,1.623
2020-04-06,1.745
2020-03-30,1.855
2020-03-23,1.971
2020-03-16,2.105
2020-03-09,2.276
2020-03-02,2.345
2020-02-24,2.356
2020-02-17,2.295
2020-02-10,2.309
2020-02-03,2.34
2020-01-27,2.403
2020-01-20,2.434
2020-01-13,2.483
2020-01-06,2.419
2019-12-30,2.411
2019-12-23,2.404
2019-12-16,2.401
2019-12-09,2.423
2019-12-02,2.451
2019-11-25,2.457
2019-11-18,2.486
2019-11-11,2.507
2019-11-04,2.495
2019-10-28,2.508
2019-10-21,2.513
2019-10-14,2.514
2019-10-07,2.546
2019-09-30,2.565
2019-09-23,2.654
2019-09-16,2.475
2019-09-09,2.462
2019-09-02,2.51
2019-08-26,2.529
2019-08-19,2.556
2019-08-12,2.58
2019-08-05,2.622
2019-07-29,2.625
2019-07-22,2.645
2019-07-15,2.66
2019-07-08,2.602
2019-07-01,2.578
2019-06-24,2.573
2019-06-17,2.593
2019-06-10,2.655
2019-06-03,2.74
2019-05-27,2.735
2019-05-20,2.728
2019-05-13,2.745
2019-05-06,2.77
2019-04-29,2.777
2019-04-22,2.776
2019-04-15,2.737
2019-04-08,2.651
2019-04-01,2.627
2019-03-25,2.577
2019-03-18,2.515
2019-03-11,2.44
2019-03-04,2.381
2019-02-25,2.33
2019-02-18,2.188
2019-02-11,2.119
2019-02-04,2.076
2019-01-28,2.076
2019-01-21,2.061
2019-01-14,2.06
2019-01-07,2.086
2018-12-31,2.12
2018-12-24,2.194
2018-12-17,2.253
2018-12-10,2.307
2018-12-03,2.374
2018-11-26,2.461
2018-11-19,2.526
2018-11-12,2.619
2018-11-05,2.718
2018-10-29,2.761
2018-10-22,2.787
2018-10-15,2.842
2018-10-08,2.85
2018-10-01,2.848
2018-09-24,2.812
2018-09-17,2.763
2018-09-10,2.754
2018-09-03,2.759
2018-08-27,2.765
2018-08-20,2.772
2018-08-13,2.791
2018-08-06,2.811
2018-07-30,2.785
2018-07-23,2.785
2018-07-16,2.792
2018-07-09,2.785
2018-07-02,2.782
2018-06-25,2.781
2018-06-18,2.806
2018-06-11,2.828
2018-06-04,2.843
2018-05-28,2.864
