week,price
2021-12-13,3.521
2021-12-06,3.522
2021-11-29,3.572
2021-11-22,3.571
2021-11-15,3.573
2021-11-08,3.565
2021-11-01,3.562
2021-10-25,3.552
2021-10-18,3.474
2021-10-11,3.383
2021-10-04,3.286
2021-09-27,3.293
2021-09-20,3.302
2021-09-13,3.3
2021-09-06,3.304
2021-08-30,3.249
2021-08-23,3.219
2021-08-16,3.226
2021-08-09,3.211
2021-08-02,3.229
2021-07-26,3.194
2021-07-19,3.202
2021-07-12,3.201
2021-07-05,3.186
2021-06-28,3.156
2021-06-21,3.146
2021-06-14,3.135
2021-06-07,3.088
2021-05-31,3.062
2021-05-24,3.068
2021-05-17,3.061
2021-05-10,3.017
2021-05-03,2.943
2021-04-26,2.909
2021-04-19,2.875
2021-04-12,2.87
2021-04-05,2.899
2021-03-29,2.899
2021-03-22,2.907
2021-03-15,2.902
2021-03-08,2.845
2021-03-01,2.809
2021-02-22,2.721
2021-02-15,2.611
2021-02-08,2.573
2021-02-01,2.529
2021-01-25,2.52
2021-01-18,2.48
2021-01-11,2.391
2021-01-04,2.332
2020-12-28,2.32
2020-12-21,2.319
2020-12-14,2.254
2020-12-07,2.244
2020-11-30,2.226
2020-11-23,2.225
2020-11-16,2.226
2020-11-09,2.217
2020-11-02,2.223
2020-10-26,2.234
2020-10-19,2.243
2020-10-12,2.241
2020-10-05,2.241
2020-09-28,2.247
2020-09-21,2.256
2020-09-14,2.275
2020-09-07,2.307
2020-08-31,2.315
2020-08-24,2.242
2020-08-17,2.251
2020-08-10,2.255
2020-08-03,2.267
2020-07-27,2.273
2020-07-20,2.283
2020-07-13,2.279
2020-07-06,2.272
2020-06-29,2.271
2020-06-22,2.25
2020-06-15,2.224
2020-06-08,2.21
2020-06-01,2.189
2020-05-25,2.189
2020-05-18,2.17
2020-05-11,2.16
2020-05-04,2.124
2020-04-27,2.136
2020-04-20,2.189
2020-04-13,2.229
2020-04-06,2.267
2020-03-30,2.31
2020-03-23,2.376
2020-03-16,2.455
2020-03-09,2.547
2020-03-02,2.57
2020-02-24,2.584
2020-02-17,2.587
2020-02-10,2.609
2020-02-03,2.635
2020-01-27,2.673
2020-01-20,2.705
2020-01-13,2.725
2020-01-06,2.722
2019-12-30,2.688
2019-12-23,2.683
2019-12-16,2.656
2019-12-09,2.661
2019-12-02,2.664
2019-11-25,2.67
2019-11-18,2.674
2019-11-11,2.684
2019-11-04,2.671
2019-10-28,2.67
2019-10-21,2.662
2019-10-14,2.673
2019-10-07,2.699
2019-09-30,2.72
2019-09-23,2.732
2019-09-16,2.696
2019-09-09,2.735
2019-09-02,2.756
2019-08-26,2.794
2019-08-19,2.807
2019-08-12,2.836
2019-08-05,2.852
2019-07-29,2.861
2019-07-22,2.878
2019-07-15,2.874
2019-07-08,2.86
2019-07-01,2.866
2019-06-24,2.808
2019-06-17,2.838
2019-06-10,2.878
2019-06-03,2.914
2019-05-27,2.934
2019-05-20,2.967
2019-05-13,2.98
2019-05-06,2.985
2019-04-29,2.97
2019-04-22,2.884
2019-04-15,2.844
2019-04-08,2.781
2019-04-01,2.723
2019-03-25,2.704
2019-03-18,2.668
2019-03-11,2.588
2019-03-04,2.529
2019-02-25,2.516
2019-02-18,2.435
2019-02-11,2.457
2019-02-04,2.47
2019-01-28,2.487
2019-01-21,2.504
2019-01-14,2.521
2019-01-07,2.556
2018-12-31,2.583
2018-12-24,2.63
2018-12-17,2.675
2018-12-10,2.721
2018-12-03,2.755
2018-11-26,2.802
2018-11-19,2.836
2018-11-12,2.881
2018-11-05,2.938
2018-10-29,2.955
2018-10-22,2.975
2018-10-15,2.989
2018-10-08,2.998
2018-10-01,2.969
2018-09-24,2.969
2018-09-17,2.988
2018-09-10,2.98
2018-09-03,2.968
2018-08-27,2.972
