week,price
2021-12-13,3.827
2021-12-06,3.847
2021-11-29,3.852
2021-11-22,3.855
2021-11-15,3.853
2021-11-08,3.857
2021-11-01,3.867
2021-10-25,3.881
2021-10-18,3.842
2021-10-11,3.838
2021-10-04,3.829
2021-09-27,3.839
2021-09-20,3.859
2021-09-13,3.867
2021-09-06,3.872
2021-08-30,3.877
2021-08-23,3.881
2021-08-16,3.876
2021-08-09,3.856
2021-08-02,3.83
2021-07-26,3.829
2021-07-19,3.802
2021-07-12,3.805
2021-07-05,3.755
2021-06-28,3.682
2021-06-21,3.6
2021-06-14,3.569
2021-06-07,3.565
2021-05-31,3.519
2021-05-24,3.515
2021-05-17,3.486
2021-05-10,3.446
2021-05-03,3.421
2021-04-26,3.346
2021-04-19,3.316
2021-04-12,3.3
2021-04-05,3.301
2021-03-29,3.294
2021-03-22,3.285
2021-03-15,3.202
2021-03-08,3.121
2021-03-01,3.034
2021-02-22,2.914
2021-02-15,2.849
2021-02-08,2.805
2021-02-01,2.745
2021-01-25,2.723
2021-01-18,2.708
2021-01-11,2.678
2021-01-04,2.676
2020-12-28,2.675
2020-12-21,2.677
2020-12-14,2.685
2020-12-07,2.716
2020-11-30,2.722
2020-11-23,2.726
2020-11-16,2.722
2020-11-09,2.71
2020-11-02,2.724
2020-10-26,2.731
2020-10-19,2.745
2020-10-12,2.761
2020-10-05,2.764
2020-09-28,2.782
2020-09-21,2.805
2020-09-14,2.817
2020-09-07,2.821
2020-08-31,2.815
2020-08-24,2.804
2020-08-17,2.783
2020-08-10,2.77
2020-08-03,2.777
2020-07-27,2.783
2020-07-20,2.761
2020-07-13,2.716
2020-07-06,2.689
2020-06-29,2.681
2020-06-22,2.632
2020-06-15,2.585
2020-06-08,2.523
2020-06-01,2.447
2020-05-25,2.414
2020-05-18,2.358
2020-05-11,2.336
2020-05-04,2.315
2020-04-27,2.331
2020-04-20,2.409
2020-04-13,2.5
2020-04-06,2.581
2020-03-30,2.676
2020-03-23,2.796
2020-03-16,2.957
2020-03-09,3
2020-03-02,3.01
2020-02-24,3.006
2020-02-17,2.982
2020-02-10,2.997
2020-02-03,2.989
2020-01-27,2.999
2020-01-20,3.02
2020-01-13,3.042
2020-01-06,3.054
2019-12-30,3.084
2019-12-23,3.086
2019-12-16,3.135
2019-12-09,3.24
2019-12-02,3.27
2019-11-25,3.306
2019-11-18,3.345
2019-11-11,3.367
2019-11-04,3.372
2019-10-28,3.366
2019-10-21,3.337
2019-10-14,3.276
2019-10-07,3.198
2019-09-30,3.153
2019-09-23,3.137
2019-09-16,3.125
2019-09-09,3.132
2019-09-02,3.123
2019-08-26,3.153
2019-08-19,3.164
2019-08-12,3.174
2019-08-05,3.189
2019-07-29,3.195
2019-07-22,3.214
2019-07-15,3.244
2019-07-08,3.265
2019-07-01,3.29
2019-06-24,3.307
2019-06-17,3.371
2019-06-10,3.413
2019-06-03,3.476
2019-05-27,3.501
2019-05-20,3.506
2019-05-13,3.529
2019-05-06,3.517
2019-04-29,3.471
2019-04-22,3.424
2019-04-15,3.341
2019-04-08,3.214
2019-04-01,3.114
2019-03-25,3.029
2019-03-18,2.921
2019-03-11,2.857
2019-03-04,2.813
2019-02-25,2.819
2019-02-18,2.817
2019-02-11,2.811
2019-02-04,2.823
2019-01-28,2.843
2019-01-21,2.893
2019-01-14,2.941
2019-01-07,2.987
2018-12-31,3.057
2018-12-24,3.079
2018-12-17,3.124
2018-12-10,3.204
2018-12-03,3.266
2018-11-26,3.347
2018-11-19,3.386
2018-11-12,3.452
2018-11-05,3.493
2018-10-29,3.503
2018-10-22,3.514
2018-10-15,3.469
2018-10-08,3.408
2018-10-01,3.37
2018-09-24,3.352
2018-09-17,3.349
2018-09-10,3.362
2018-09-03,3.35
2018-08-27,3.332
2018-08-20,3.344
2018-08-13,3.344
2018-08-06,3.351
2018-07-30,3.362
2018-07-23,3.371
2018-07-16,3.389
2018-07-09,3.388
2018-07-02,3.394
2018-06-25,3.401
2018-06-18,3.419
2018-06-11,3.423
2018-06-04,3.438
2018-05-28,3.435
2018-05-21,3.394
2018-05-14,3.346
2018-05-07,3.381
2018-04-30,3.308
2018-04-23,3.294
2018-04-16,3.265
2018-04-09,3.228
2018-04-02,3.208
2018-03-26,3.174
2018-03-19,3.127
2018-03-12,3.055
2018-03-05,3.046
2018-02-26,3.018
2018-02-19,3.022
2018-02-12,3.041
2018-02-05,3.027
2018-01-29,2.991
2018-01-22,2.974
2018-01-15,2.959
2018-01-08,2.953
2018-01-01,2.953
2017-12-25,2.95
2017-12-18,2.987
2017-12-11,2.993
2017-12-04,3.013
2017-11-27,3.035
2017-11-20,3.052
2017-11-13,3.045
2017-11-06,2.981
2017-10-30,2.957
2017-10-23,2.953
2017-10-16,2.966
2017-10-09,2.993
2017-10-02,3.038
2017-09-25,3.081
2017-09-18,3.102
2017-09-11,3.106
2017-09-04,3.092
2017-08-28,3.004
2017-08-21,2.932
2017-08-14,2.887
2017-08-07,2.866
2017-07-31,2.848
2017-07-24,2.836
2017-07-17,2.85
2017-07-10,2.847
2017-07-03,2.825
2017-06-26,2.84
2017-06-19,2.863
2017-06-12,2.89
2017-06-05,2.919
2017-05-29,2.923
2017-05-22,2.926
2017-05-15,2.925
2017-05-08,2.932
2017-05-01,2.963
2017-04-24,2.963
2017-04-17,2.946
2017-04-10,2.939
2017-04-03,2.902
2017-03-27,2.882
2017-03-20,2.88
2017-03-13,2.869
2017-03-06,2.81
2017-02-27,2.79
2017-02-20,2.756
2017-02-13,2.751
2017-02-06,2.747
2017-01-30,2.753
2017-01-23,2.766
2017-01-16,2.77
2017-01-09,2.736
2017-01-02,2.688
2016-12-26,2.635
2016-12-19,2.592
2016-12-12,2.577
2016-12-05,2.599
2016-11-28,2.633
2016-11-21,2.663
2016-11-14,2.711
2016-11-07,2.749
2016-10-31,2.76
2016-10-24,2.762
2016-10-17,2.733
2016-10-10,2.735
2016-10-03,2.746
2016-09-26,2.751
2016-09-19,2.74
2016-09-12,2.685
2016-09-05,2.653
2016-08-29,2.638
2016-08-22,2.583
2016-08-15,2.583
2016-08-08,2.62
2016-08-01,2.651
2016-07-25,2.688
2016-07-18,2.7
2016-07-11,2.704
2016-07-04,2.706
2016-06-27,2.682
2016-06-20,2.682
2016-06-13,2.689
2016-06-06,2.666
2016-05-30,2.645
2016-05-23,2.623
2016-05-16,2.586
2016-05-09,2.527
2016-05-02,2.453
2016-04-25,2.384
2016-04-18,2.362
2016-04-11,2.32
2016-04-04,2.33
2016-03-28,2.309
2016-03-21,2.283
2016-03-14,2.226
2016-03-07,2.121
2016-02-29,2.065
2016-02-22,2.064
2016-02-15,2.093
2016-02-08,2.129
2016-02-01,2.204
2016-01-25,2.299
2016-01-18,2.355
2016-01-11,2.425
2016-01-04,2.481
2015-12-28,2.479
2015-12-21,2.451
2015-12-14,2.431
2015-12-07,2.444
2015-11-30,2.474
2015-11-23,2.496
2015-11-16,2.529
2015-11-09,2.533
2015-11-02,2.438
